"",gene_symbol,GSM1480291,GSM1480292,GSM1480293,GSM1480294,GSM1480295,GSM1480296,GSM1480297,GSM1480298,GSM1480299,GSM1480300,GSM1480301,GSM1480302
ENSMUSG00000003402,Prkcsh,131.7538,140.05852,112.75415,112.75859,59.81008,65.51822,95.03077,77.30845,72.85942,65.70608,52.25805,57.5777
ENSMUSG00000003410,Elavl3,0.49212,0.63033,0.29211,0.08459,0.03884,0,2.07805,1.31824,1.93159,1.69218,1.76101,0.8509
ENSMUSG00000003411,Rab3b,1.07372,1.26065,0,0,0.15535,0,0.19981,0,0.23179,0.28891,0.48428,0.8509
ENSMUSG00000003418,St8sia6,9.26079,5.67294,1.50228,0.46525,0.42721,0.73834,71.77261,55.74884,6.99234,4.20981,4.84278,7.75266
ENSMUSG00000003420,Fcgrt,12.21351,8.32031,0,0.63443,1.82537,0.85492,17.7833,14.88337,9.88972,9.16253,10.9623,14.55988
ENSMUSG00000003421,Nosip,22.27959,21.97738,24.24506,23.17769,11.76783,9.59846,20.62064,17.05208,17.57743,16.26143,21.61643,22.83254
ENSMUSG00000003423,Pih1d1,13.77934,10.6315,10.30728,9.55868,4.97123,6.60623,17.26379,15.56375,11.74404,9.6578,11.1384,11.01445
ENSMUSG00000003429,Rps11,859.28529,712.85709,694.96952,620.84898,289.53515,284.41746,516.43511,597.67345,428.30986,424.07661,300.86898,279.75765
ENSMUSG00000003435,Supt5,184.00793,194.98095,174.38919,183.60279,79.26777,90.73846,142.26642,132.03672,145.29389,135.45688,168.39682,169.56585
ENSMUSG00000003436,Dll3,0.13421,0.16809,0,0.21148,0,0.07772,0.03996,0.51029,0.1159,0.16509,0.26415,0.18909
ENSMUSG00000003437,Paf1,97.08175,89.84252,51.11911,49.01996,21.74912,25.842,174.99569,150.27947,143.4782,115.10946,91.61667,121.53716
ENSMUSG00000003438,Timm50,44.51444,43.61858,37.80728,24.19277,18.79745,18.03111,36.76548,30.02188,27.11947,21.09033,12.54721,15.74169
ENSMUSG00000003444,Med29,24.11385,22.60771,20.57283,18.48294,14.5253,11.58033,16.34465,15.22356,13.25068,12.62943,12.76734,12.4799
ENSMUSG00000003452,Bicd1,5.8607,6.59742,1.91957,1.77639,1.78653,0.42746,8.19231,10.92864,2.85875,2.43509,2.46542,2.78907
ENSMUSG00000003458,Ncstn,122.85091,122.49342,94.10089,92.79533,53.82907,59.02857,69.61464,71.14249,56.78863,54.645,50.45301,57.15225
ENSMUSG00000003464,Pex19,55.87793,56.43522,33.96813,33.15932,28.00199,27.55185,41.16135,41.54585,43.03573,49.3621,50.14483,51.00684
ENSMUSG00000003469,Phyhip,0.17895,0.75639,0.16692,0.46525,0.03884,0.11658,17.74334,12.4595,30.28727,22.16342,42.7926,57.9086
ENSMUSG00000003476,Crhr2,0.04474,0,0,0,0,0,0,0.04252,0.03863,0.20636,0.04403,0.09454
ENSMUSG00000003477,Inmt,0.08948,0.25213,0,0,0,0,0.27974,0.46776,0.03863,0.20636,0,0
ENSMUSG00000003484,Cyp4f18,0.08948,0.21011,0.04173,0,0,0,0,0.12757,0,0,0,0
ENSMUSG00000003500,Impdh1,70.73099,58.66237,91.80575,72.5783,87.73439,90.77732,45.87693,49.07258,61.77212,40.32339,23.72964,27.37068
ENSMUSG00000003505,Psg18,0,0,0,0,0,0,0.03996,0.12757,0.19316,0,0,0
ENSMUSG00000003518,Dusp3,47.5119,54.83839,56.21016,57.30979,19.7684,12.55183,24.1773,26.27977,42.76531,32.06886,54.89956,41.93056
ENSMUSG00000003526,Prodh,15.30044,10.84161,26.54021,22.41637,2.33026,3.03109,10.03058,6.12344,5.17665,3.63199,4.31448,3.0727
ENSMUSG00000003527,Dgcr14,18.20842,16.93477,13.47875,12.51933,5.28193,5.557,14.66623,11.69407,9.58067,8.83235,9.50947,10.63627
ENSMUSG00000003528,Slc25a1,39.45903,40.50897,49.07435,43.81767,408.84461,500.40218,33.24878,25.64191,21.17018,19.19179,33.37119,39.85057
ENSMUSG00000003531,Dgcr6,9.52922,8.99266,12.47724,12.89999,6.13636,5.51814,9.03152,7.31411,11.85994,12.3818,15.93716,13.99261
ENSMUSG00000003534,Ddr1,157.43348,154.72411,87.46584,132.2989,48.97436,40.53114,228.22571,235.15718,262.69569,238.55599,235.88762,233.80894
ENSMUSG00000003541,Ier3,532.02586,491.5285,211.4036,320.38497,193.48949,245.01326,848.12368,678.1712,405.28536,370.62851,347.75594,487.42499
ENSMUSG00000003545,Fosb,4313.87432,3726.32137,844.4877,1143.74263,938.74636,953.93902,3684.06096,2628.61503,1362.11577,1657.59267,2682.77042,3802.11349
ENSMUSG00000003546,Klc4,32.21145,40.00471,32.54931,34.85112,16.81673,15.62178,29.9319,32.36069,29.01242,30.54177,39.97498,45.57053
ENSMUSG00000003549,Ercc1,29.92981,41.60154,51.70333,46.77832,10.9134,7.84975,37.20507,44.13981,44.77416,38.09467,28.66048,28.22158
ENSMUSG00000003555,Cyp17a1,0.08948,0.08404,0,0,0,0,0,0,0,0.08255,0,0
ENSMUSG00000003559,As3mt,13.3767,11.9762,4.92413,4.44098,2.01956,1.67099,10.47017,12.33193,17.88649,22.16342,22.14473,22.64345
ENSMUSG00000003573,Homer3,20.66902,22.27153,15.3566,14.76097,2.25259,1.94301,20.22101,21.21943,15.105,16.7567,15.62899,14.55988
ENSMUSG00000003575,Crtc1,18.43211,23.61623,14.81411,13.19605,9.59292,9.59846,26.7349,23.68581,21.51787,17.6647,13.5598,15.69441
ENSMUSG00000003581,Rnf215,24.5165,25.80136,14.64719,13.83048,4.81588,5.59586,24.89662,20.87924,20.32028,18.69652,21.52838,21.88709
ENSMUSG00000003585,Sec14l2,61.29124,55.59479,61.7185,55.4911,65.20852,67.65553,16.38462,12.33193,6.91508,6.68617,6.16354,8.3672
ENSMUSG00000003604,Aven,17.00049,11.55598,20.73975,17.46785,12.93296,13.05701,15.14578,10.8436,14.2551,14.1978,11.66671,11.72354
ENSMUSG00000003617,Cp,586.69586,429.75651,782.97785,1000.74308,455.21684,460.25965,296.68144,317.86617,421.00847,366.29488,266.04496,335.06627
ENSMUSG00000003623,Crot,13.51092,11.05172,1.6692,1.81869,1.63118,1.1658,26.17542,27.34287,31.75527,33.22449,36.62906,42.82873
ENSMUSG00000003644,Rps6ka1,68.22565,81.60625,103.19801,83.78649,83.11271,100.95868,106.77974,123.02165,110.79577,84.44387,80.39022,94.82829
ENSMUSG00000003657,Calb2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003660,Snrnp200,135.78023,126.6956,89.96963,72.74748,46.06153,47.02078,125.72196,101.67465,87.96442,89.35531,90.95629,107.68637
ENSMUSG00000003662,Ciao1,25.59021,22.77579,26.74886,21.73965,20.73934,14.84458,26.89475,19.26333,25.22651,24.68105,26.23909,30.53793
ENSMUSG00000003665,Has1,3.80274,5.16868,0.91806,0.76131,0.6214,0.73834,28.29343,42.43885,19.70218,13.00089,6.82392,6.05086
ENSMUSG00000003680,Tmem179b,24.82966,25.00295,20.69802,16.87572,11.65131,11.46374,15.58537,12.6296,10.50783,9.82289,8.62896,12.95262
ENSMUSG00000003721,Insig2,21.34009,27.56627,10.0569,10.44688,13.01063,10.06478,40.24222,43.62952,28.81926,24.80487,36.18881,38.33786
ENSMUSG00000003731,Kpna6,68.62829,60.51133,61.96888,54.6452,40.74076,47.48711,62.54128,56.25912,73.20711,62.69317,78.23298,66.18126
ENSMUSG00000003746,Man1a,248.34137,144.09261,19.11229,17.80621,10.79688,12.12437,224.06962,245.91573,286.18377,311.93878,283.91924,261.22689
ENSMUSG00000003752,Itpkc,502.67764,453.2887,261.85503,300.97155,87.30718,63.65293,357.46437,452.2417,401.65398,368.56487,289.7746,224.35448
ENSMUSG00000003762,Coq8b,77.88909,78.20249,40.93702,41.49144,21.08888,19.5078,67.01708,87.08895,47.05343,40.98375,30.72967,24.81797
ENSMUSG00000003778,Brd8,93.23427,91.56541,48.0311,45.42488,37.78909,33.18657,53.4698,43.33186,35.65708,32.77049,32.88691,39.37785
ENSMUSG00000003779,Kif20a,14.36094,15.33794,8.88847,4.2295,9.35989,6.72281,12.98781,13.73522,11.47362,8.66726,2.72957,3.16725
ENSMUSG00000003808,Farsa,63.79658,63.32679,57.87935,51.2193,25.28335,27.97931,60.46323,61.78723,64.43771,54.89264,35.92465,41.41056
ENSMUSG00000003809,Gcdh,24.74019,25.84338,28.79362,22.54326,41.94473,42.35757,18.46267,13.43755,9.38751,8.95617,10.30192,11.48718
ENSMUSG00000003810,Mast2,79.32071,66.94066,55.20864,50.11963,31.26436,32.33165,102.46379,80.5828,76.99302,64.83935,78.76128,68.11943
ENSMUSG00000003812,Dnase2a,20.98218,19.87629,18.27769,18.56753,17.28278,16.82645,6.43396,5.40054,7.03097,7.71799,11.27048,13.18898
ENSMUSG00000003813,Rad23a,53.86471,51.89687,41.52124,38.36161,30.09923,27.62957,65.89813,52.89973,42.34036,42.92357,47.59136,44.38872
ENSMUSG00000003814,Calr,880.04378,906.99761,936.37691,769.05082,540.97051,561.17946,1467.06255,1144.74345,946.86342,802.46437,632.90788,665.73622
ENSMUSG00000003824,Syce2,7.33705,6.7655,8.5129,4.2295,5.90333,5.9456,4.31595,3.10424,4.0177,3.09545,1.54089,1.60726
ENSMUSG00000003847,Nfat5,279.34489,305.33009,254.42711,239.64373,85.79251,107.72034,321.41821,338.66036,466.82569,456.92964,334.68042,326.69907
ENSMUSG00000003848,Nob1,51.85149,47.86278,38.51668,33.75145,11.26294,10.41452,48.6743,49.41277,55.66831,45.52375,20.29567,21.03619
ENSMUSG00000003849,Nqo1,20.40059,20.33853,0.66768,0.59213,2.25259,1.74871,11.86886,13.18241,28.08526,38.46612,55.03164,53.79591
ENSMUSG00000003863,Ppfia3,0,0.71437,0,1.60721,1.7477,0,0,0,0,0.49527,1.40881,1.22908
ENSMUSG00000003865,Gys1,14.36094,17.69116,15.73217,15.18392,10.13664,11.50261,16.42458,10.54593,26.23094,27.23996,38.12592,34.93425
ENSMUSG00000003868,Ruvbl2,45.90132,45.46754,30.04552,19.24425,5.47612,7.73317,48.15479,41.71595,38.28403,26.24941,22.80511,23.35253
ENSMUSG00000003872,Lin7b,0.31317,0.21011,0.08346,0.33836,0.11651,0.03886,0.43959,1.14815,2.62696,2.31127,4.05033,2.93088
ENSMUSG00000003873,Bax,29.88507,28.40671,22.57587,18.65212,6.29171,6.1399,18.90225,17.51985,19.31586,17.2107,16.68559,16.78168
ENSMUSG00000003882,Il7r,0,0.16809,0.12519,0,0.11651,0.07772,0.23977,0.21262,0.19316,0.12382,0,0
ENSMUSG00000003923,Tfam,29.43769,30.00353,18.82018,12.35015,12.66109,9.3653,22.45891,21.43205,15.37542,12.58816,13.82395,13.23625
ENSMUSG00000003929,Zfp81,10.5582,11.47194,5.50834,4.94852,2.21375,2.95337,5.63471,5.23044,4.44265,3.13672,2.55347,4.06542
ENSMUSG00000003934,Efnb3,0.98424,1.21863,0.33384,0.46525,0.03884,0.03886,5.59475,6.80382,4.48128,3.87963,2.20127,2.12725
ENSMUSG00000003948,Mmd,12.25825,9.4549,9.18057,10.40458,1.32048,1.39897,40.12233,46.39358,33.3778,44.57448,25.79883,26.28342
ENSMUSG00000003949,Hlf,22.45854,23.28005,74.52958,82.01009,134.99989,143.39396,5.39493,10.16321,30.63495,23.23651,23.64159,18.24712
ENSMUSG00000003955,Fam162a,23.53226,19.58214,16.56676,14.21114,8.38895,9.48188,30.21163,25.38677,28.31705,29.42741,24.25795,26.66159
ENSMUSG00000003970,Rpl8,1176.52338,1119.50164,944.63942,797.55768,389.42575,366.64554,853.11899,937.22681,766.64646,704.52435,464.73119,468.7997
ENSMUSG00000003974,Grm3,0.04474,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003992,Ssbp2,13.06353,13.06877,12.89453,13.02687,5.86449,4.7798,48.27467,46.39358,45.58543,50.2701,91.26447,90.62106
ENSMUSG00000004018,Fancl,8.85815,12.06024,11.18361,7.06327,6.91311,7.38343,8.59193,9.01507,7.0696,7.38781,5.32706,6.05086
ENSMUSG00000004031,Brinp2,0.17895,0.12607,0.08346,0.12689,0.03884,0.11658,0.27974,0.42524,0.23179,0.12382,0.04403,0
ENSMUSG00000004032,Gstm5,23.21909,22.77579,15.18968,15.31081,11.02991,12.94043,42.12045,48.98754,62.27433,66.90299,62.03166,57.43588
ENSMUSG00000004035,Gstm7,1.11845,0.84044,1.21017,0.80361,7.80638,6.41193,2.11801,2.1262,2.39517,2.724,6.6038,7.09085
ENSMUSG00000004038,Gstm3,0,0,0,0,0,0.03886,0,0.04252,0.03863,0,0,0
ENSMUSG00000004040,Stat3,973.32279,1038.39965,783.85417,740.50166,328.25635,290.55736,1245.39068,1330.65796,1129.93914,1076.43231,797.95878,828.87303
ENSMUSG00000004043,Stat5a,127.50367,131.86428,163.95672,142.02676,116.28011,163.29036,105.58087,104.82142,56.32505,48.33029,47.10708,53.51228
ENSMUSG00000004044,Ptrf,47.60137,59.16663,16.44157,16.49507,3.22353,2.87565,412.33285,341.97722,409.57348,444.05257,945.92785,883.66166
ENSMUSG00000004054,Map3k11,93.50269,113.3747,83.33458,77.48452,20.81701,22.88863,82.40263,65.61438,42.41763,34.50395,47.63539,63.01402
ENSMUSG00000004056,Akt2,91.93686,93.07819,76.99164,68.94092,31.38087,24.71506,148.66042,144.58127,138.68787,131.9487,101.03809,94.40284
ENSMUSG00000004069,Dnaja3,41.42751,40.08876,33.46737,25.88457,27.8078,28.56221,21.85948,21.38952,16.76617,12.42307,12.67929,13.99261
ENSMUSG00000004070,Hmox2,34.13519,33.4073,21.783,18.90589,10.83572,11.58033,21.57974,20.87924,19.35449,16.63288,21.2202,18.90893
ENSMUSG00000004071,Cdip1,43.26177,48.11491,47.11304,45.42488,17.90419,18.96375,48.3546,40.69537,45.46953,49.15574,52.83037,54.69409
ENSMUSG00000004085,Map3k20,36.19315,42.31591,8.01214,9.47409,5.24309,4.50778,113.29363,107.79809,83.6763,114.40782,184.90631,172.07128
ENSMUSG00000004096,Cwc15,35.61155,36.39084,33.63429,35.18948,21.51609,21.41194,34.60751,27.25782,29.36011,28.14796,27.6479,29.92338
ENSMUSG00000004098,Col5a3,2.50534,2.73141,1.9613,1.22656,1.04862,1.24352,5.51482,6.16597,11.9372,18.53143,13.95602,13.28352
ENSMUSG00000004099,Dnmt1,210.89555,208.89016,154.27539,111.53204,58.72262,55.60888,101.22496,95.16849,64.5536,54.60373,45.43412,39.8033
ENSMUSG00000004100,Ppan,75.33901,64.41935,48.40667,52.19209,14.64182,18.65287,74.84972,78.66922,65.86708,63.89008,21.26423,19.4762
ENSMUSG00000004105,Angptl2,2.19217,1.97502,0.91806,0.80361,0.66024,0.5829,114.61239,85.47304,128.83678,136.86015,199.87492,213.52911
ENSMUSG00000004110,Cacna1e,0.80529,0.54628,0.4173,0.25377,0.15535,0.54404,0.3197,0.63786,0.1159,0.24764,0.1761,0.23636
ENSMUSG00000004113,Cacna1b,0.04474,0,1.21017,0.0423,0.03884,0,0.19981,0.04252,0.8499,0.61909,0.66038,1.13454
ENSMUSG00000004127,Trmt10a,27.55869,18.40553,16.06601,15.77605,8.89384,7.81089,19.54165,19.30585,20.01123,17.08688,13.29564,10.02173
ENSMUSG00000004151,Etv1,4.74224,6.47135,0.12519,0.97279,0.15535,0.03886,12.50826,9.90807,12.20762,11.59762,13.7359,19.14529
ENSMUSG00000004187,Kifc2,12.88458,16.43051,13.39529,13.87278,5.63147,6.02332,11.50919,16.88199,13.32794,13.82634,16.06924,20.8471
ENSMUSG00000004207,Psap,1353.41795,1398.6942,1506.94963,1459.13679,568.11807,635.44121,1012.24958,1151.41971,1096.40681,1179.15996,1009.54442,1006.23881
ENSMUSG00000004221,Ikbkg,35.79051,40.1728,26.2481,26.77276,20.85585,20.94562,16.62439,16.79694,12.55531,15.88998,21.61643,21.98163
ENSMUSG00000004231,Pax2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004233,Wars2,16.32942,12.81664,12.93626,10.82753,4.89355,3.76943,8.59193,7.52673,7.88087,7.92435,6.51575,10.96718
ENSMUSG00000004263,Atn1,161.41518,171.1126,103.57358,92.2455,39.22609,35.24616,213.99907,194.802,195.32197,198.35642,197.62962,209.65278
ENSMUSG00000004264,Phb2,187.09487,184.97978,168.71393,133.52546,64.54828,74.96123,115.09194,113.11358,105.88954,95.58749,62.03166,69.67941
ENSMUSG00000004266,Ptpn6,16.01625,13.9092,4.00607,3.80655,6.60241,5.20726,7.31313,8.5473,6.18107,8.62599,9.55349,8.60356
ENSMUSG00000004267,Eno2,11.76613,7.60594,2.75417,4.61016,1.86421,1.63213,7.27317,5.8683,4.79033,4.62254,5.19499,5.43632
ENSMUSG00000004268,Emg1,69.20989,58.7044,44.85963,35.31636,20.11794,20.51816,45.31745,49.32773,37.70456,32.64668,24.25795,23.11617
ENSMUSG00000004270,Lpcat3,79.41018,88.20367,44.23368,54.51831,27.06989,26.77465,53.58968,53.11235,52.07556,47.50483,41.64794,46.13779
ENSMUSG00000004285,Atp6v1f,81.37866,79.88336,61.84369,65.64191,33.6723,34.8187,47.11576,47.20153,47.55565,48.00011,51.72974,45.42871
ENSMUSG00000004296,Il12b,0,0.04202,0.04173,0,0,0,0,0,0.61811,0.24764,0.08805,0.09454
ENSMUSG00000004317,Clcn5,10.78189,13.36292,19.57132,11.67343,20.73934,20.285,3.91632,9.14264,7.61045,8.41962,3.34592,4.06542
ENSMUSG00000004319,Clcn3,99.94499,100.09583,123.18662,115.42318,114.84312,117.3188,14.98593,11.5665,9.27161,8.04817,7.22015,8.50902
ENSMUSG00000004328,Hif3a,2.4606,4.28622,3.79742,0.38066,0.66024,1.01036,0.27974,0.55281,0.27042,0.16509,0,0.18909
ENSMUSG00000004341,Gpx6,0,0.08404,0,0.0423,0.03884,0,0,0,0,0,0,0
ENSMUSG00000004344,Gpx5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004347,Pde1c,0.22369,0.08404,0.12519,0.16918,0.27186,0.07772,0,0.21262,0,0.04127,0,0
ENSMUSG00000004356,Utp20,74.13108,58.28418,58.54703,38.4462,19.53537,20.05184,86.87843,62.63771,48.63733,44.82211,40.81146,38.85786
ENSMUSG00000004359,Spic,0.04474,0.08404,0.04173,0,0.11651,0.03886,0.11989,0.1701,0.23179,0.20636,0.08805,0.18909
ENSMUSG00000004360,9330159F19Rik,0.17895,0,0.08346,0.12689,0.15535,0.03886,0.15985,0.1701,0.07726,0.28891,0,0.18909
ENSMUSG00000004364,Cul3,179.31043,170.44025,157.98935,157.76052,73.28676,69.13221,180.67036,193.7389,204.90264,189.40025,180.50378,171.59856
ENSMUSG00000004366,Sst,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004371,Il11,9.30553,11.42992,2.16995,2.24164,0.34954,0.34974,14.906,29.68168,5.13802,3.30181,1.76101,2.12725
ENSMUSG00000004383,Large1,24.20333,24.3306,12.31032,13.40753,8.81616,7.07255,19.74146,12.92727,10.4692,8.25453,17.9183,11.62899
ENSMUSG00000004393,Ddx56,53.64102,47.27448,51.57814,42.33734,27.45826,34.19693,36.28593,35.29484,33.88002,26.00178,19.54724,19.66529
ENSMUSG00000004394,Tmed4,60.17279,61.30974,60.34141,56.3793,49.59576,50.3239,40.16229,32.57331,27.31263,27.90032,23.15731,28.50521
ENSMUSG00000004415,Col26a1,0.67107,0.21011,0.54249,0.54984,0.07768,0,0.67936,0.93553,0.34769,0.66036,0.04403,0.18909
ENSMUSG00000004446,Bid,25.00862,23.44814,7.88695,9.47409,6.83544,6.3342,5.4349,5.48558,6.18107,4.16854,3.38995,3.16725
ENSMUSG00000004451,Ralb,141.55145,137.53721,95.81182,97.44779,26.48732,27.00781,49.23377,63.91343,62.66065,56.17209,52.61025,44.81417
ENSMUSG00000004455,Ppp1cc,119.80872,133.54515,157.94762,166.21953,88.82185,81.95606,138.90958,143.43312,134.55428,122.37344,100.77394,93.69376
ENSMUSG00000004460,Dnajb11,76.32325,78.20249,108.62289,79.13403,87.54021,90.34985,70.6137,59.9587,51.30292,43.70775,38.69825,42.5451
ENSMUSG00000004462,Tbccd1,7.82917,7.732,6.46813,5.45606,4.66053,4.74094,10.27036,7.14402,6.18107,6.39726,10.21387,12.8108
ENSMUSG00000004473,Clec11a,0.85002,0.54628,0.54249,0.54984,0.38838,0.31088,1.19887,1.02057,8.57624,4.87017,3.61008,3.35634
ENSMUSG00000004500,Zfp324,3.44484,2.3112,1.83611,1.56492,2.71864,3.88602,2.95722,2.1262,2.39517,1.93982,3.1258,3.78179
ENSMUSG00000004508,Gab2,20.89271,22.85984,19.86343,17.34097,8.31127,9.67618,3.39681,3.82715,1.85432,2.68272,1.54089,1.65453
ENSMUSG00000004530,Coro1c,50.6883,55.46872,21.90819,25.12326,5.20425,4.5855,46.03678,37.20841,52.96409,53.03537,103.81169,93.17376
ENSMUSG00000004535,Tax1bp1,231.34088,239.43997,272.12058,266.3319,233.2593,218.51064,267.94842,276.83061,349.69432,346.81418,354.00753,338.46988
ENSMUSG00000004540,Psg17,0.04474,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004542,Psg19,0.08948,0.25213,0,0.08459,0,0.15544,0,0.12757,0,0.12382,0,0
ENSMUSG00000004552,Ctse,4.20538,7.22774,11.43399,7.99376,9.32105,9.3653,0.03996,0.25514,0.54084,0.41273,0.04403,0.18909
ENSMUSG00000004558,Ndrg2,15.34518,11.72407,4.08953,5.83672,6.95195,5.90674,48.994,56.13155,103.91932,112.13782,110.01925,144.13333
ENSMUSG00000004561,Mettl17,19.14792,20.04438,17.40136,11.71573,6.7966,8.00519,13.26754,13.05484,9.58067,10.19435,9.59752,14.51261
ENSMUSG00000004562,Arhgef40,92.87636,86.43876,123.77084,93.55664,67.03389,76.5545,137.83059,177.15458,153.32929,138.38724,108.17019,123.90078
ENSMUSG00000004565,Pnpla6,7.7397,8.99266,6.34294,4.69475,5.47612,11.114,9.71088,7.69683,7.49455,4.66381,10.87425,11.53445
ENSMUSG00000004567,Mcoln1,38.65375,41.64356,32.04855,32.39801,19.26351,21.13992,24.85666,30.82983,25.76736,29.67504,27.55985,32.09791
ENSMUSG00000004568,Arhgef18,66.92824,55.46872,50.45143,51.43078,30.09923,28.21247,45.4773,33.67893,23.1404,30.66559,54.19516,70.29395
ENSMUSG00000004591,Pkn2,111.17426,115.89601,140.00377,124.05137,48.35295,47.40939,126.36136,139.86112,142.16472,122.20835,133.5728,122.19897
ENSMUSG00000004609,Cd33,0.04474,0.04202,0,0,0.07768,0.11658,0,0,0,0.08255,0.04403,0.09454
ENSMUSG00000004610,Etfb,58.47274,60.51133,50.20105,52.53045,26.44848,29.6503,27.85385,28.87373,42.30173,52.37501,29.98124,24.29798
ENSMUSG00000004612,Nkg7,0,0,0,0,0.07768,0.07772,0,0,0.07726,0,0,0
ENSMUSG00000004613,Lim2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004626,Stxbp2,102.13715,128.54456,116.80195,124.26284,65.48038,65.09076,56.46698,59.87365,44.89006,50.51774,49.61653,57.62497
ENSMUSG00000004630,Pcp2,0.08948,0.33617,0.20865,0.12689,0.11651,0.07772,0,0.04252,0.03863,0.28891,0,0
ENSMUSG00000004631,Sgce,0.44738,0.63033,0.16692,0.16918,0,0.11658,1.15891,2.8491,1.04306,1.27945,1.27673,0.66181
ENSMUSG00000004633,Chn2,1.879,2.85748,0.33384,0.25377,0.27186,0.3886,9.43114,13.30998,2.93601,3.34309,2.68554,1.93817
ENSMUSG00000004637,Wwox,15.38992,13.86718,10.97496,12.8154,7.57335,7.46115,11.22946,11.82164,11.58952,12.05162,11.27048,9.45447
ENSMUSG00000004642,Slbp,89.92364,83.37117,38.64187,25.54621,17.12743,16.51556,159.41033,131.18624,67.95319,54.27355,53.66686,67.83579
ENSMUSG00000004651,Tyr,0.04474,0.12607,0.08346,0.08459,0,0,0.27974,0.12757,0.1159,0.12382,0.26415,0.14182
ENSMUSG00000004654,Ghrhr,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004655,Aqp1,61.78336,94.633,12.18513,10.02393,5.67031,6.25648,225.98782,391.51757,67.02603,84.19623,51.42156,75.54118
ENSMUSG00000004661,Arid3b,6.35281,8.27829,12.81107,12.47704,3.57307,4.27462,4.11614,2.55143,2.58833,1.77472,2.55347,3.0727
ENSMUSG00000004665,Cnn2,25.59021,24.62475,3.33839,10.10852,1.24281,1.39897,181.06999,168.81989,234.30137,252.17597,269.39088,268.79047
ENSMUSG00000004667,Polr2e,58.7859,50.93037,60.71698,50.07733,26.565,27.43527,31.5304,26.19472,21.13155,17.82979,11.88683,13.28352
ENSMUSG00000004668,Abca13,0,0.04202,0.08346,0.12689,0,0.07772,0,0.08505,0.46358,0,0,0
ENSMUSG00000004677,Myo9b,60.84386,53.74583,42.02199,40.9839,14.5253,15.1166,78.04672,78.58417,43.46068,43.79029,53.4027,57.9086
ENSMUSG00000004698,Hdac9,0.04474,0.04202,0,0,0,0,0.3197,0.51029,0.03863,0.12382,0.13208,0.09454
ENSMUSG00000004707,Ly9,0,0,0,0,0.03884,0,0,0.12757,0.03863,0.08255,0,0
ENSMUSG00000004709,Cd244,0,0.04202,0.08346,0,0.03884,0.1943,0,0.1701,0,0,0,0
ENSMUSG00000004730,Adgre1,0.08948,0.04202,0.12519,0.08459,0.03884,0,0.03996,0.21262,0.27042,0.33018,0.04403,0
ENSMUSG00000004748,Mtfp1,2.10269,2.39524,1.08498,0.80361,4.62169,6.3342,1.07899,0.76543,0.88853,0.49527,0.39623,0.47272
ENSMUSG00000004768,Rab23,8.18708,7.77403,2.96282,2.74918,2.3691,2.83679,12.70807,12.03426,9.6193,8.83235,11.75476,12.90535
ENSMUSG00000004771,Rab11a,73.05737,82.69882,74.57131,78.49961,31.26436,30.0389,47.91501,45.7132,59.0679,56.95627,52.61025,44.48326
ENSMUSG00000004788,Eif2b2,39.36956,33.4073,28.33459,28.71834,13.16598,12.35753,19.18199,16.62685,18.04101,14.23907,13.07552,10.63627
ENSMUSG00000004789,Dlst,114.88752,121.8631,122.89451,103.53827,46.52758,52.34463,108.93772,99.20826,145.64158,138.46978,118.34004,119.22082
ENSMUSG00000004791,Pgf,3.80274,3.23568,0.54249,0.46525,0.27186,0.27202,59.46417,36.95327,78.15197,77.55133,65.15746,76.203
ENSMUSG00000004798,Ulk2,35.34312,36.43286,27.95902,29.94489,19.84607,19.74096,53.1501,63.02042,56.90452,60.58827,98.74877,99.69734
ENSMUSG00000004814,Ccl24,0.53686,0.46224,0.04173,0.16918,0.23303,0.07772,0.3197,0.80795,0.42495,0.12382,0,0.14182
ENSMUSG00000004815,Dgkq,24.8744,24.20453,9.13884,11.67343,5.74798,8.51037,30.09175,20.49652,18.23417,17.2107,18.79881,25.05433
ENSMUSG00000004821,Tmed11,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004837,Grap,0.31317,0.29415,0.04173,0.08459,0.15535,0.23316,0.55947,1.10562,0.65674,1.03182,1.84906,1.18181
ENSMUSG00000004842,Pou1f1,0.08948,0.04202,0.12519,0.08459,0,0.07772,0.03996,0,0.03863,0.04127,0.13208,0.18909
ENSMUSG00000004843,Chmp2b,119.04817,122.66151,131.82471,144.94512,31.14785,26.96895,71.41295,72.54578,89.16201,90.30459,98.7928,90.90469
ENSMUSG00000004846,Plod3,98.82653,103.83576,108.20559,106.7527,96.16218,106.82656,136.39194,112.39067,100.40384,100.78784,104.56012,100.02825
ENSMUSG00000004849,Ap1s1,49.88302,51.51867,53.91501,55.70258,36.27442,38.43269,20.50075,26.79006,26.81041,25.63032,23.81769,21.22528
